date,new,NTotal_ExposureOnly,domestic-contactWithCase,domestic-contactWithTraveller,domestic-unknown,infopending,internationalTravel,cumulative,cumulativeNTotal_ExposureOnly,doubleFlagTest,shaded
2020-02-17,1,1,0,0,0,0,1,28,28,0,
2020-02-18,3,3,3,0,0,0,0,31,31,0,
2020-02-19,3,3,1,0,1,0,1,34,34,0,
2020-02-20,6,6,1,1,2,0,2,40,40,1,
2020-02-21,2,2,0,0,0,0,2,42,42,0,
2020-02-22,5,5,0,0,2,0,3,47,47,0,
2020-02-23,16,16,7,0,3,0,6,63,63,0,
2020-02-24,14,14,3,0,4,0,7,77,77,0,
2020-02-25,16,16,5,0,2,0,9,93,93,1,
2020-02-26,12,12,6,1,3,0,2,105,105,0,
2020-02-27,24,24,13,0,6,0,5,129,129,0,
2020-02-28,36,36,19,0,4,0,13,165,165,0,
2020-02-29,27,27,10,0,5,1,11,192,192,1,
2020-03-01,47,47,11,0,12,4,20,239,239,0,
2020-03-02,47,47,8,0,10,0,29,286,286,0,
2020-03-03,51,51,15,0,10,0,26,337,337,0,
2020-03-04,48,48,10,1,10,2,25,385,385,1,
2020-03-05,62,62,14,1,18,0,29,447,447,0,
2020-03-06,81,81,16,0,26,2,37,528,528,0,
2020-03-07,90,90,17,4,27,1,41,618,618,0,
2020-03-08,131,129,31,3,33,6,56,749,747,0,
2020-03-09,221,221,67,10,55,2,87,970,968,1,
2020-03-10,257,257,67,8,65,6,111,1227,1225,0,
2020-03-11,295,295,81,12,75,7,120,1522,1520,0,
2020-03-12,383,383,104,8,116,9,146,1905,1903,0,
2020-03-13,458,456,127,11,151,13,154,2363,2359,1,
2020-03-14,458,453,98,13,168,10,164,2821,2812,0,
2020-03-15,593,589,160,11,193,15,210,3414,3401,0,
2020-03-16,830,826,261,9,288,19,249,4244,4227,0,
2020-03-17,854,851,269,17,297,25,243,5098,5078,1,
2020-03-18,952,940,275,19,333,31,282,6050,6018,0,
2020-03-19,805,796,256,13,287,25,215,6855,6814,0,
2020-03-20,995,989,347,21,379,33,209,7850,7803,0,
2020-03-21,865,856,302,10,299,19,226,8715,8659,0,
2020-03-22,831,828,313,12,306,18,179,9546,9487,0,
2020-03-23,1014,1011,429,15,378,33,156,10560,10498,1,
2020-03-24,910,901,377,19,327,29,149,11470,11399,0,
2020-03-25,909,902,425,10,334,31,102,12379,12301,0,
2020-03-26,825,817,397,12,283,30,95,13204,13118,0,
2020-03-27,911,901,439,8,329,54,71,14115,14019,0,
2020-03-28,894,884,439,8,322,44,71,15009,14903,0,
2020-03-29,809,803,446,9,273,30,45,15818,15706,0,
2020-03-30,1038,1034,548,11,356,56,63,16856,16740,0,
2020-03-31,863,859,488,3,263,46,59,17719,17599,0,
2020-04-01,1219,1210,726,12,325,72,75,18938,18809,0,
2020-04-02,1056,1053,700,8,245,62,38,19994,19862,0,
2020-04-03,1254,1252,835,7,280,80,50,21248,21114,1,
2020-04-04,1105,1104,712,7,256,102,27,22353,22218,0,
2020-04-05,1001,1000,643,5,257,74,21,23354,23218,0,
2020-04-06,1317,1312,810,11,379,101,11,24671,24530,0,
2020-04-07,1198,1196,745,13,317,110,11,25869,25726,0,
2020-04-08,1334,1333,836,10,352,130,5,27203,27059,0,
2020-04-09,1379,1376,846,14,392,119,5,28582,28435,0,
2020-04-10,1608,1607,972,19,448,164,4,30190,30042,0,
2020-04-11,1548,1547,883,11,463,186,4,31738,31589,0,
2020-04-12,1399,1397,810,16,408,162,1,33137,32986,0,
2020-04-13,1939,1937,1036,32,630,233,6,35076,34923,0,
2020-04-14,1693,1692,973,21,523,172,3,36769,36615,0,
2020-04-15,1770,1765,1039,21,494,207,4,38539,38380,0,
2020-04-16,1811,1809,991,18,646,153,1,40350,40189,0,
2020-04-17,1803,1802,963,17,598,221,3,42153,41991,0,
2020-04-18,1606,1604,979,21,453,148,3,43759,43595,1,
2020-04-19,1199,1197,712,15,368,98,4,44958,44792,0,
2020-04-20,1777,1775,993,11,605,164,2,46735,46567,0,
2020-04-21,1395,1394,758,13,493,126,4,48130,47961,0,
2020-04-22,1468,1467,818,12,522,113,2,49598,49428,0,
2020-04-23,1508,1507,814,20,543,129,1,51106,50935,0,
2020-04-24,1475,1473,821,10,536,104,2,52581,52408,0,
2020-04-25,1365,1362,752,15,519,73,3,53946,53770,0,
2020-04-26,1289,1289,753,13,451,68,4,55235,55059,0,
2020-04-27,1606,1605,851,11,618,120,5,56841,56664,0,
2020-04-28,1403,1403,825,19,473,80,6,58244,58067,0,
2020-04-29,1398,1398,733,4,574,85,2,59642,59465,0,
2020-04-30,1325,1325,759,5,488,71,2,60967,60790,0,
2020-05-01,1448,1447,822,8,545,68,4,62415,62237,0,
2020-05-02,1043,1042,640,8,340,54,0,63458,63279,0,
2020-05-03,998,996,598,6,358,28,6,64456,64275,0,
2020-05-04,1234,1234,723,6,458,47,0,65690,65509,0,
2020-05-05,1174,1173,671,6,437,58,1,66864,66682,0,
2020-05-06,1002,1001,572,8,372,47,2,67866,67683,0,
2020-05-07,1061,1061,637,6,343,70,5,68927,68744,0,
2020-05-08,1085,1084,650,5,372,56,1,70012,69828,0,
2020-05-09,977,977,577,9,351,38,2,70989,70805,0,
2020-05-10,879,879,531,6,295,44,3,71868,71684,0,
2020-05-11,1159,1159,681,5,418,50,5,73027,72843,0,
2020-05-12,1042,1042,605,6,371,54,6,74069,73885,0,
2020-05-13,1037,1034,599,3,397,33,2,75106,74919,0,
2020-05-14,1090,1090,627,3,396,58,6,76196,76009,0,
2020-05-15,1223,1223,722,0,437,53,11,77419,77232,0,
2020-05-16,970,970,548,2,395,24,1,78389,78202,0,
2020-05-17,900,900,523,2,335,32,8,79289,79102,0,
2020-05-18,1062,1060,580,2,429,47,2,80351,80162,0,
2020-05-19,905,905,543,3,317,40,2,81256,81067,0,
2020-05-20,1019,1019,595,1,374,48,1,82275,82086,0,
2020-05-21,804,804,517,3,258,23,3,83079,82890,0,
2020-05-22,800,799,478,0,301,16,4,83879,83689,0,
2020-05-23,685,685,443,1,211,27,3,84564,84374,0,
2020-05-24,636,634,382,0,230,21,1,85200,85008,0,
2020-05-25,785,785,471,2,279,31,2,85985,85793,0,
2020-05-26,715,715,425,1,255,29,5,86700,86508,0,
2020-05-27,688,687,394,2,272,18,1,87388,87195,0,
2020-05-28,560,560,342,2,199,16,1,87948,87755,1,
2020-05-29,684,684,361,0,244,75,4,88632,88439,0,
2020-05-30,542,538,324,2,172,39,1,89174,88977,0,
2020-05-31,408,407,255,0,133,15,4,89582,89384,0,
2020-06-01,619,619,345,5,222,43,4,90201,90003,0,
2020-06-02,475,474,296,1,139,32,6,90676,90477,0,
2020-06-03,453,453,278,3,137,33,2,91129,90930,0,
2020-06-04,428,427,228,1,151,38,9,91557,91357,0,
2020-06-05,427,423,234,1,127,58,3,91984,91780,0,
2020-06-06,349,347,200,1,93,51,2,92333,92127,0,
2020-06-07,297,296,186,1,90,18,1,92630,92423,0,
2020-06-08,388,382,229,6,107,32,8,93018,92805,0,
2020-06-09,351,348,189,3,114,39,3,93369,93153,0,
2020-06-10,418,415,212,5,121,69,8,93787,93568,0,
2020-06-11,342,338,211,3,101,20,3,94129,93906,0,
2020-06-12,349,344,192,5,98,46,3,94478,94250,0,
2020-06-13,238,237,120,1,78,35,3,94716,94487,0,
2020-06-14,254,251,141,0,85,20,5,94970,94738,0,
2020-06-15,326,322,169,2,116,28,7,95296,95060,0,
2020-06-16,301,291,152,2,86,48,3,95597,95351,0,
2020-06-17,296,287,150,0,89,44,4,95893,95638,0,
2020-06-18,230,215,111,1,76,25,2,96123,95853,0,
2020-06-19,245,244,119,0,70,50,5,96368,96097,0,
2020-06-20,199,199,79,0,60,58,2,96567,96296,0,
2020-06-21,124,124,52,0,51,19,2,96691,96420,0,
2020-06-22,131,127,45,0,42,40,0,96822,96547,0,
2020-06-23,104,103,21,0,35,47,0,96926,96650,0,
2020-06-24,62,60,8,0,19,33,0,96988,96710,0,
2020-06-25,22,21,2,0,8,11,0,97010,96731,0,
2020-06-26,2,2,0,0,0,2,0,97012,96733,,
2020-06-27,0,0,0,0,0,0,0,97012,96733,,
