date,new,NTotal_ExposureOnly,domestic-contactWithCase,domestic-contactWithTraveller,domestic-unknown,infopending,internationalTravel,cumulative,cumulativeNTotal_ExposureOnly,doubleFlagTest,shaded
2020-02-17,1,1,0,0,0,0,1,28,28,0,
2020-02-18,3,3,3,0,0,0,0,31,31,0,
2020-02-19,3,3,1,0,1,0,1,34,34,0,
2020-02-20,6,6,1,1,2,0,2,40,40,1,
2020-02-21,2,2,0,0,0,0,2,42,42,0,
2020-02-22,5,5,0,0,2,0,3,47,47,0,
2020-02-23,16,16,7,0,3,0,6,63,63,0,
2020-02-24,14,14,3,0,4,0,7,77,77,0,
2020-02-25,16,16,5,0,2,0,9,93,93,1,
2020-02-26,12,12,6,1,3,0,2,105,105,0,
2020-02-27,24,24,13,0,6,0,5,129,129,0,
2020-02-28,36,36,19,0,4,0,13,165,165,0,
2020-02-29,27,27,10,0,5,1,11,192,192,1,
2020-03-01,47,47,11,0,12,4,20,239,239,0,
2020-03-02,47,47,8,0,10,0,29,286,286,0,
2020-03-03,52,52,16,0,10,0,26,338,338,0,
2020-03-04,47,47,10,1,9,2,25,385,385,1,
2020-03-05,62,62,14,1,18,0,29,447,447,0,
2020-03-06,81,81,16,0,26,2,37,528,528,0,
2020-03-07,90,90,17,4,27,1,41,618,618,0,
2020-03-08,131,129,31,3,33,6,56,749,747,0,
2020-03-09,221,221,67,10,55,2,87,970,968,1,
2020-03-10,256,256,67,8,64,6,111,1226,1224,0,
2020-03-11,296,296,81,12,75,8,120,1522,1520,0,
2020-03-12,383,383,104,8,116,9,146,1905,1903,0,
2020-03-13,458,456,127,11,151,13,154,2363,2359,1,
2020-03-14,458,453,97,13,169,10,164,2821,2812,0,
2020-03-15,593,589,160,11,193,15,210,3414,3401,0,
2020-03-16,830,826,261,9,288,19,249,4244,4227,0,
2020-03-17,853,850,269,17,296,25,243,5097,5077,1,
2020-03-18,951,939,274,19,332,32,282,6048,6016,0,
2020-03-19,805,796,254,13,287,27,215,6853,6812,0,
2020-03-20,993,987,346,21,378,33,209,7846,7799,0,
2020-03-21,864,855,300,10,300,19,226,8710,8654,0,
2020-03-22,832,829,314,12,305,19,179,9542,9483,0,
2020-03-23,1011,1008,429,15,376,32,156,10553,10491,1,
2020-03-24,908,899,376,19,326,29,149,11461,11390,0,
2020-03-25,907,900,425,10,332,31,102,12368,12290,0,
2020-03-26,824,816,397,12,282,30,95,13192,13106,0,
2020-03-27,909,899,439,8,327,54,71,14101,14005,0,
2020-03-28,892,882,438,8,320,45,71,14993,14887,0,
2020-03-29,806,800,443,9,272,31,45,15799,15687,0,
2020-03-30,1042,1038,548,11,357,59,63,16841,16725,0,
2020-03-31,864,860,488,3,263,47,59,17705,17585,0,
2020-04-01,1220,1211,727,12,323,74,75,18925,18796,0,
2020-04-02,1058,1055,705,8,242,62,38,19983,19851,0,
2020-04-03,1253,1251,835,7,278,81,50,21236,21102,1,
2020-04-04,1103,1102,714,7,255,99,27,22339,22204,0,
2020-04-05,1002,1001,644,5,256,75,21,23341,23205,0,
2020-04-06,1318,1313,810,11,380,101,11,24659,24518,0,
2020-04-07,1200,1198,746,13,318,110,11,25859,25716,0,
2020-04-08,1335,1334,836,10,352,131,5,27194,27050,0,
2020-04-09,1376,1373,845,14,391,118,5,28570,28423,0,
2020-04-10,1608,1607,970,19,447,167,4,30178,30030,0,
2020-04-11,1555,1554,883,11,466,190,4,31733,31584,0,
2020-04-12,1397,1395,807,16,409,162,1,33130,32979,0,
2020-04-13,1940,1938,1036,32,629,235,6,35070,34917,0,
2020-04-14,1692,1691,972,21,524,171,3,36762,36608,0,
2020-04-15,1775,1770,1039,21,495,211,4,38537,38378,0,
2020-04-16,1810,1808,990,18,645,154,1,40347,40186,0,
2020-04-17,1800,1799,958,17,599,222,3,42147,41985,0,
2020-04-18,1607,1605,979,21,453,149,3,43754,43590,1,
2020-04-19,1200,1198,711,15,369,99,4,44954,44788,0,
2020-04-20,1778,1776,993,11,605,165,2,46732,46564,0,
2020-04-21,1395,1394,758,13,492,127,4,48127,47958,0,
2020-04-22,1467,1466,816,12,521,115,2,49594,49424,0,
2020-04-23,1506,1505,815,20,542,127,1,51100,50929,0,
2020-04-24,1475,1473,819,10,536,106,2,52575,52402,0,
2020-04-25,1362,1359,750,15,518,73,3,53937,53761,0,
2020-04-26,1290,1290,753,13,452,68,4,55227,55051,0,
2020-04-27,1606,1605,850,11,618,121,5,56833,56656,0,
2020-04-28,1400,1400,825,19,471,79,6,58233,58056,0,
2020-04-29,1398,1398,730,4,574,88,2,59631,59454,0,
2020-04-30,1326,1326,759,5,489,71,2,60957,60780,0,
2020-05-01,1445,1444,820,8,545,67,4,62402,62224,0,
2020-05-02,1043,1042,639,8,340,55,0,63445,63266,0,
2020-05-03,997,995,597,6,358,28,6,64442,64261,0,
2020-05-04,1235,1235,724,6,456,49,0,65677,65496,0,
2020-05-05,1172,1171,669,6,437,58,1,66849,66667,0,
2020-05-06,1003,1002,571,8,374,47,2,67852,67669,0,
2020-05-07,1059,1059,637,6,341,70,5,68911,68728,0,
2020-05-08,1087,1086,649,5,374,57,1,69998,69814,0,
2020-05-09,978,978,576,9,352,39,2,70976,70792,0,
2020-05-10,879,879,531,6,295,44,3,71855,71671,0,
2020-05-11,1159,1159,680,5,419,50,5,73014,72830,0,
2020-05-12,1043,1043,605,6,371,55,6,74057,73873,0,
2020-05-13,1035,1032,599,3,394,34,2,75092,74905,0,
2020-05-14,1085,1085,625,3,396,56,5,76177,75990,0,
2020-05-15,1222,1222,723,0,434,54,11,77399,77212,0,
2020-05-16,972,972,547,2,396,26,1,78371,78184,0,
2020-05-17,901,901,522,2,336,33,8,79272,79085,0,
2020-05-18,1066,1064,580,2,430,50,2,80338,80149,0,
2020-05-19,905,905,542,3,317,41,2,81243,81054,0,
2020-05-20,1020,1020,594,1,374,50,1,82263,82074,0,
2020-05-21,806,806,505,3,258,37,3,83069,82880,0,
2020-05-22,800,799,475,0,302,18,4,83869,83679,0,
2020-05-23,684,684,440,1,211,29,3,84553,84363,0,
2020-05-24,632,630,377,0,229,23,1,85185,84993,0,
2020-05-25,784,784,464,2,281,35,2,85969,85777,0,
2020-05-26,718,718,424,1,255,33,5,86687,86495,0,
2020-05-27,688,687,392,2,273,19,1,87375,87182,0,
2020-05-28,559,559,336,2,203,17,1,87934,87741,1,
2020-05-29,680,680,359,0,242,75,4,88614,88421,0,
2020-05-30,538,534,319,2,172,40,1,89152,88955,0,
2020-05-31,404,403,247,0,133,19,4,89556,89358,0,
2020-06-01,621,621,337,5,222,53,4,90177,89979,0,
2020-06-02,469,468,282,1,143,36,6,90646,90447,0,
2020-06-03,442,442,263,3,133,41,2,91088,90889,0,
2020-06-04,426,425,214,1,146,56,8,91514,91314,0,
2020-06-05,433,429,216,1,124,85,3,91947,91743,0,
2020-06-06,359,357,184,1,92,78,2,92306,92100,0,
2020-06-07,305,304,176,1,90,36,1,92611,92404,0,
2020-06-08,391,386,218,6,102,52,8,93002,92790,0,
2020-06-09,348,345,184,3,113,42,3,93350,93135,0,
2020-06-10,410,407,202,5,120,73,7,93760,93542,0,
2020-06-11,340,336,207,3,102,21,3,94100,93878,0,
2020-06-12,347,342,188,5,95,51,3,94447,94220,0,
2020-06-13,235,234,119,1,74,37,3,94682,94454,0,
2020-06-14,241,238,135,0,79,20,4,94923,94692,0,
2020-06-15,309,306,159,2,112,28,5,95232,94998,0,
2020-06-16,285,275,140,2,85,48,0,95517,95273,0,
2020-06-17,284,275,137,0,84,51,3,95801,95548,0,
2020-06-18,210,195,95,1,68,30,1,96011,95743,0,
2020-06-19,223,222,97,0,62,58,5,96234,95965,0,
2020-06-20,189,189,56,0,53,79,1,96423,96154,0,
2020-06-21,110,109,29,0,37,43,0,96533,96263,0,
2020-06-22,104,103,14,0,42,47,0,96637,96366,0,
2020-06-23,22,21,7,0,6,8,0,96659,96387,0,
2020-06-24,4,4,1,0,1,2,0,96663,96391,0,
